2026-03-10 15:34:09,254 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479736,"p":"70995.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479737,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479738,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479739,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479740,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479741,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479742,"p":"70995.40000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,260 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479743,"p":"70995.40000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,260 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,260 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,260 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479744,"p":"70995.40000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,261 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,262 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,262 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479745,"p":"70995.40000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,263 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,266 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,266 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479746,"p":"70995.40000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,266 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,267 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,268 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479747,"p":"70995.41000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,268 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,268 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479748,"p":"70995.41000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479749,"p":"70995.59000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,269 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479750,"p":"70997.56000000","q":"0.00011000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479751,"p":"70997.77000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,270 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,271 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479752,"p":"70997.78000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,271 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,271 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,271 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479753,"p":"70998.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,271 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,272 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,272 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479754,"p":"70998.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,273 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,273 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,273 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479755,"p":"70998.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,273 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,273 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479756,"p":"70998.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479757,"p":"70998.86000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,274 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479758,"p":"70998.86000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,275 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,275 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,275 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479759,"p":"70999.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,275 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,276 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,276 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479760,"p":"70999.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,276 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,277 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,277 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479761,"p":"70999.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,277 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,277 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,278 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479762,"p":"70999.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,278 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,279 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,279 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479763,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,279 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,279 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,279 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479764,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,280 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,280 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,280 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479765,"p":"70999.15000000","q":"0.07609000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,280 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,281 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,281 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479766,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,281 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,281 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,281 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479767,"p":"70999.15000000","q":"0.00016000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,282 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,282 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,282 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479768,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,282 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,283 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,283 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042286,"s":"BTCUSDT","t":6087479769,"p":"70999.15000000","q":"0.00008000","T":1773137042285,"m":false,"M":true}}...
2026-03-10 15:34:09,283 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
